"","Family","Genus","Taxa","Portik","guild","ecology","lung","Spec_lotic","six_state","state","tree_names"
"1","Allophrynidae","Allophryne","Allophryne_ruthveni","","lentic",1,"1",0,6,4,"Allophryne_ruthveni"
"2","Alsodidae","Alsodes","Alsodes_monticola","","lentic, benthic",1,"1",0,6,4,"Alsodes_monticola"
"3","Alsodidae","Alsodes","Alsodes_neuquensis","","lentic, benthic",1,"1",0,6,4,"Alsodes_neuquensis"
"4","Alsodidae","Alsodes","Alsodes_nodosus","","lotic",0,"1",0,3,2,"Alsodes_nodosus"
"6","Alsodidae","Limnomedusa","Limnomedusa_macroglossa","","lentic",1,"1",0,6,4,"Limnomedusa_macroglossa"
"7","Alytidae","Alytes","Alytes_dickhilleni","","lentic",1,"1",0,6,4,"Alytes_dickhilleni"
"8","Alytidae","Alytes","Alytes_obstetricans","","lentic, benthic",1,"1",0,6,4,"Alytes_obstetricans"
"9","Alytidae","Discoglossus","Discoglossus_galganoi","","lentic, benthic",1,"1",0,6,4,"Discoglossus_galganoi"
"10","Alytidae","Discoglossus","Discoglossus_pictus","","lentic, benthic",1,"1",0,6,4,"Discoglossus_pictus"
"14","Arthroleptidae","Astylosternus","Astylosternus_rheophilus","","lotic, clasping",0,"1",0,3,2,"Astylosternus_rheophilus"
"15","Arthroleptidae","Cardioglossa","Cardioglossa_manengouba","","lotic, fossorial",0,"0",1,2,1,"Cardioglossa_manengouba"
"16","Arthroleptidae","Cardioglossa","Cardioglossa_sp.","Cardioglossa_schioetzi","lotic, fossorial",0,"0",1,2,1,"Cardioglossa_schioetzi"
"17","Arthroleptidae","Leptodactylodon","Leptodactylodon_bicolor","","lotic, fossorial",0,"1",1,4,2,"Leptodactylodon_bicolor"
"18","Arthroleptidae","Leptodactylodon","Leptodactylodon_boulengeri","","lotic, fossorial",0,"0",1,2,1,"Leptodactylodon_boulengeri"
"19","Arthroleptidae","Leptodactylodon","Leptodactylodon_mertensi","","lotic, fossorial",0,"1",1,4,2,"Leptodactylodon_mertensi"
"21","Arthroleptidae","Leptopelis","Leptopelis_boulengeri","","lotic",0,"1",0,3,2,"Leptopelis_boulengeri"
"23","Arthroleptidae","Leptopelis","Leptopelis_natalensis","","lotic",0,"1",0,3,2,"Leptopelis_natalensis"
"26","Arthroleptidae","Leptopelis","Leptopelis_vermiculatus","","lentic, benthic",1,"1",0,6,4,"Leptopelis_vermiculatus"
"32","Arthroleptidae","Trichobatrachus","Trichobatrachus_robustus","","lotic, suctorial",0,"1",1,4,2,"Trichobatrachus_robustus"
"33","Ascaphidae","Ascaphus","Ascaphus_montanus","","lotic, suctorial",0,"0",1,2,1,"Ascaphus_montanus"
"34","Ascaphidae","Ascaphus","Ascaphus_truei","","lotic, suctorial",0,"0",1,2,1,"Ascaphus_truei"
"35","Batrachylidae","Atelognathus","Atelognathus_reverberii","","lentic, benthic",1,"1",0,6,4,"Atelognathus_reverberii"
"36","Batrachylidae","Batrachyla","Batrachyla_taeniata","","lentic, benthic",1,"1",0,6,4,"Batrachyla_taeniata"
"38","Batrachylidae","Hylorina","Hylorina_sylvatica","","lentic, benthic",1,"1",0,6,4,"Hylorina_sylvatica"
"40","Bombinatoridae","Bombina","Bombina_maxima","","lentic, benthic",1,"1",0,6,4,"Bombina_maxima"
"41","Bombinatoridae","Bombina","Bombina_orientalis","","lentic, benthic",1,"1",0,6,4,"Bombina_orientalis"
"42","Bombinatoridae","Bombina","Bombina_variegata","","lentic, benthic",1,"1",0,6,4,"Bombina_variegata"
"52","Bufonidae","Amazophrynella","Amazophrynella_minuta","","lentic, benthic",1,"0",0,5,3,"Amazophrynella_minuta"
"53","Bufonidae","Anaxyrus","Anaxyrus_americanus","","lentic, benthic",1,"0",0,5,3,"Anaxyrus_americanus"
"54","Bufonidae","Anaxyrus","Anaxyrus_terrestris","","lentic, benthic",1,"0",0,5,3,"Anaxyrus_terrestris"
"55","Bufonidae","Anaxyrus","Anaxyrus_woodhousii","","lentic, benthic",1,"0",0,5,3,"Anaxyrus_woodhousii"
"56","Bufonidae","Ansonia","Ansonia_echinata","?","lotic, suctorial",0,"0",1,2,1,NA
"57","Bufonidae","Ansonia","Ansonia_hanitschi","","lotic, suctorial",0,"0",1,2,1,"Ansonia_hanitschi"
"58","Bufonidae","Ansonia","Ansonia_mcgregori","","lotic, suctorial",0,"0",1,2,1,"Ansonia_mcgregori"
"59","Bufonidae","Atelopus","Atelopus_nanay","","lotic, gastromyzophorous",0,"0",1,2,1,"Atelopus_nanay"
"60","Bufonidae","Atelopus","Atelopus_tricolor","","lotic, gastromyzophorous",0,"0",1,2,1,"Atelopus_tricolor"
"62","Bufonidae","Barbarophryne","Barbarophryne_brongersmai","","lentic, benthic",1,"0",0,5,3,"Barbarophryne_brongersmai"
"65","Bufonidae","Bufo","Bufo_bufo","","lentic, benthic",1,"0",0,5,3,"Bufo_bufo"
"67","Bufonidae","Bufo","Bufo_torrenticola","","lotic, suctorial",0,"0",1,2,1,"Bufo_torrenticola"
"70","Bufonidae","Capensibufo","Capensibufo_tradouwi","","Lentic, benthic",1,"0",0,5,3,"Capensibufo_tradouwi"
"72","Bufonidae","Dendrophryniscus","Dendrophryniscus_brevipollicatus","","Lentic, benthic",1,"0",0,5,3,"Dendrophryniscus_brevipollicatus"
"75","Bufonidae","Duttaphrynus","Duttaphrynus_melanostictus","","lentic",1,"0",0,5,3,"Duttaphrynus_melanostictus"
"76","Bufonidae","Duttaphrynus","Duttaphrynus_stomaticus","","lentic, benthic",1,"0",0,5,3,"Duttaphrynus_stomaticus"
"81","Bufonidae","Incilius","Incilius_aucoinae","","lotic",0,"0",0,1,1,"Incilius_aucoinae"
"82","Bufonidae","Incilius","Incilius_coccifer","","lentic, benthic",1,"0",0,5,3,"Incilius_coccifer"
"83","Bufonidae","Incilius","Incilius_coniferus","","lentic, benthic",1,"0",0,5,3,"Incilius_coniferus"
"84","Bufonidae","Ingerophrynus","Ingerophrynus_parvus","","lentic",1,"0",0,5,3,"Ingerophrynus_parvus"
"87","Bufonidae","Melanophryniscus","Melanophryniscus_moreirae","","lentic, arboreal",1,"0",0,5,3,"Melanophryniscus_moreirae"
"88","Bufonidae","Melanophryniscus","Melanophryniscus_pachyrhynus","","lotic",0,"0",0,1,1,"Melanophryniscus_pachyrhynus"
"89","Bufonidae","Melanophryniscus","Melanophryniscus_setiba","","lentic",1,"-",0,NA,NA,"Melanophryniscus_setiba"
"90","Bufonidae","Mertensophryne","Mertensophryne_micranotis","","lentic, arboreal",1,"0",0,5,3,"Mertensophryne_micranotis"
"92","Bufonidae","Nannophryne","Nannophryne_cophotis","","lentic",1,"0",0,5,3,"Nannophryne_cophotis"
"101","Bufonidae","Peltophryne","Peltophryne_lemur","","lentic",1,"0",0,5,3,"Peltophryne_lemur"
"102","Bufonidae","Peltophryne","Peltophryne_peltocephala","","lentic, benthic",1,"0",0,5,3,"Peltophryne_peltocephala"
"103","Bufonidae","Phrynoidis","Phrynoidis_asper","","lotic, suctorial",0,"0",1,2,1,"Phrynoidis_asper"
"106","Bufonidae","Rentapia","Rentapia_hosii","","lotic",0,"0",0,1,1,"Rentapia_hosii"
"107","Bufonidae","Rhaebo","Rhaebo_caeruleostictus","?","lentic",1,"0",0,5,3,NA
"108","Bufonidae","Rhaebo","Rhaebo_glaberrimus","","lotic",0,"0",0,1,1,"Rhaebo_glaberrimus"
"112","Bufonidae","Rhinella","Rhinella_acutirostris","","lentic, benthic",1,"0",0,5,3,"Rhinella_acutirostris"
"114","Bufonidae","Rhinella","Rhinella_arenarum","","lentic, benthic",1,"0",0,5,3,"Rhinella_arenarum"
"116","Bufonidae","Rhinella","Rhinella_castaneotica","","lentic, arboreal",1,"0",0,5,3,"Rhinella_castaneotica"
"117","Bufonidae","Rhinella","Rhinella_chrysophora","?","lotic, gastromyzophorous",0,"0",1,2,1,NA
"118","Bufonidae","Rhinella","Rhinella_crucifer","","lentic",1,"0",0,5,3,"Rhinella_crucifer"
"119","Bufonidae","Rhinella","Rhinella_granulosa","","lentic, benthic",1,"0",0,5,3,"Rhinella_granulosa"
"120","Bufonidae","Rhinella","Rhinella_icterica","","lentic",1,"0",0,5,3,"Rhinella_icterica"
"121","Bufonidae","Rhinella","Rhinella_jimi","Rhinella_horribilis","lentic, benthic",1,"0",0,5,3,"Rhinella_horribilis"
"122","Bufonidae","Rhinella","Rhinella_marina","","lentic, benthic",1,"0",0,5,3,"Rhinella_marina"
"123","Bufonidae","Rhinella","Rhinella_schneideri","","lentic",1,"0",0,5,3,"Rhinella_schneideri"
"128","Bufonidae","Schismaderma","Schismaderma_carens","","lentic, nektonic",1,"0",0,5,3,"Schismaderma_carens"
"129","Bufonidae","Sclerophrys","Sclerophrys_capensis","","lentic",1,"0",0,5,3,"Sclerophrys_capensis"
"130","Bufonidae","Sclerophrys","Sclerophrys_garmani","","lentic",1,"0",0,5,3,"Sclerophrys_garmani"
"131","Bufonidae","Sclerophrys","Sclerophrys_gutturalis","","lentic",1,"0",0,5,3,"Sclerophrys_gutturalis"
"132","Bufonidae","Sclerophrys","Sclerophrys_lemairii","","lentic",1,"0",0,5,3,"Sclerophrys_lemairii"
"133","Bufonidae","Sclerophrys","Sclerophrys_pardalis","","lentic",1,"0",0,5,3,"Sclerophrys_pardalis"
"135","Bufonidae","Sclerophrys","Sclerophrys_poweri","","lentic",1,"0",0,5,3,"Sclerophrys_poweri"
"136","Bufonidae","Sclerophrys","Sclerophrys_pusilla","","lentic",1,"0",0,5,3,"Sclerophrys_pusilla"
"138","Bufonidae","Strauchbufo","Strauchbufo_raddei","","lentic",1,"0",0,5,3,"Strauchbufo_raddei"
"140","Bufonidae","Vandijkophrynus","Vandijkophrynus_amatolicus","","lentic",1,"0",0,5,3,"Vandijkophrynus_amatolicus"
"141","Bufonidae","Vandijkophrynus","Vandijkophrynus_angusticeps","","lentic",1,"0",0,5,3,"Vandijkophrynus_angusticeps"
"142","Bufonidae","Vandijkophrynus","Vandijkophrynus_gariepensis","","lentic",1,"0",0,5,3,"Vandijkophrynus_gariepensis"
"146","Calyptocephalellidae","Calyptocephalella","Calyptocephalella_gayi","","lentic, benthic",1,"1",0,6,4,"Calyptocephalella_gayi"
"149","Centrolenidae","Centrolene","Centrolene_geckoideum","","lotic, fossorial",0,"0",1,2,1,"Centrolene_geckoideum"
"150","Centrolenidae","Centrolene","Centrolene_quindianum","Centrolene_altitudinalis","lotic, fossorial",0,"1",1,4,2,"Centrolene_altitudinalis"
"152","Centrolenidae","Cochranella","Cochranella_granulosa","","lotic, fossorial",0,"1",1,4,2,"Cochranella_granulosa"
"153","Centrolenidae","Espadarana","Espadarana_prosoblepon","","lotic, fossorial",0,"1",1,4,2,"Espadarana_prosoblepon"
"154","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium_chirripoi","","lotic, fossorial",0,"1",1,4,2,"Hyalinobatrachium_chirripoi"
"155","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium_fleischmanni","","lotic, fossorial",0,"0",1,2,1,"Hyalinobatrachium_fleischmanni"
"156","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium_tricolor","","lotic, fossorial",0,"1",1,4,2,"Hyalinobatrachium_tricolor"
"157","Centrolenidae","Ikakogi","Ikakogi_ispacue","","lotic, fossorial",0,"0",1,2,1,"Ikakogi_ispacue"
"158","Centrolenidae","Ikakogi","Ikakogi_tayrona","","lotic, fossorial",0,"0",1,2,1,"Ikakogi_tayrona"
"159","Centrolenidae","Nymphargus","Nymphargus_griffithsi","","lotic, fossorial",0,"1",1,4,2,"Nymphargus_griffithsi"
"163","Centrolenidae","Vitreorana","Vitreorana_uranoscopa","","lotic, fossorial",0,"1",1,4,2,"Vitreorana_uranoscopa"
"168","Ceratophryidae","Ceratophrys","Ceratophrys_aurita","","lentic, benthic",1,"1",0,6,4,"Ceratophrys_aurita"
"169","Ceratophryidae","Ceratophrys","Ceratophrys_calcarata","","lentic",1,"1",0,6,4,"Ceratophrys_calcarata"
"170","Ceratophryidae","Ceratophrys","Ceratophrys_ornata","","lentic, benthic",1,"1",0,6,4,"Ceratophrys_ornata"
"172","Ceratophryidae","Chacophrys","Chacophrys_pierottii","","lentic, benthic",1,"1",0,6,4,"Chacophrys_pierottii"
"173","Ceratophryidae","Lepidobatrachus","Lepidobatrachus_laevis","","lentic, carnivore",1,"1",0,6,4,"Lepidobatrachus_laevis"
"175","Conrauidae","Conraua","Conraua_robusta","","lotic, suctorial",0,"1",1,4,2,"Conraua_robusta"
"179","Cycloramphidae","Cycloramphus","Cycloramphus_boraceiensis","","lotic, semiterrestrial",0,"1",1,4,2,"Cycloramphus_boraceiensis"
"180","Cycloramphidae","Cycloramphus","Cycloramphus_fuliginosus","","lotic, semiterrestrial",0,"1",1,4,2,"Cycloramphus_fuliginosus"
"181","Cycloramphidae","Cycloramphus","Cycloramphus_izecksohni","","lotic, semiterrestrial",0,"1",1,4,2,"Cycloramphus_izecksohni"
"183","Cycloramphidae","Thoropa","Thoropa_megatympanum","","lotic, semiterrestrial",0,"1",1,4,2,"Thoropa_megatympanum"
"184","Cycloramphidae","Thoropa","Thoropa_miliaris","","lotic, semiterrestrial",0,"1",1,4,2,"Thoropa_miliaris"
"185","Cycloramphidae","Thoropa","Thoropa_petropolitana","?","lotic, semiterrestrial",0,"0",1,2,1,NA
"186","Cycloramphidae","Thoropa","Thoropa_taophora","","lotic, semiterrestrial",0,"0",1,2,1,"Thoropa_taophora"
"188","Dendrobatidae","Adelphobates","Adelphobates_galactonotus","","lentic, arboreal",1,"1",0,6,4,"Adelphobates_galactonotus"
"189","Dendrobatidae","Adelphobates","Adelphobates_quinquevittatus","","lentic",1,"1",0,6,4,"Adelphobates_quinquevittatus"
"191","Dendrobatidae","Allobates","Allobates_insperatus","","lentic",1,"1",0,6,4,"Allobates_insperatus"
"193","Dendrobatidae","Ameerega","Ameerega_trivittata","","lentic",1,"1",0,6,4,"Ameerega_trivittata"
"194","Dendrobatidae","Andinobates","Andinobates_bombetes","","lentic, arboreal",1,"1",0,6,4,"Andinobates_bombetes"
"196","Dendrobatidae","Anomaloglossus","Anomaloglossus_tepuyensis","","lotic",0,"1",0,3,2,"Anomaloglossus_tepuyensis"
"197","Dendrobatidae","Aromobates","Aromobates_mayorgai","Aromobates_meridensis","lotic, sidepools",0,"1",0,3,2,"Aromobates_meridensis"
"198","Dendrobatidae","Aromobates","Aromobates_saltuensis","","lotic",0,"1",0,3,2,"Aromobates_saltuensis"
"200","Dendrobatidae","Colostethus","Colostethus_imbricolus","","lentic",1,"1",0,6,4,"Colostethus_imbricolus"
"201","Dendrobatidae","Dendrobates","Dendrobates_tinctorius","","lentic, arboreal",1,"1",0,6,4,"Dendrobates_tinctorius"
"202","Dendrobatidae","Dendrobates","Dendrobates_truncatus","","lentic, arboreal",1,"1",0,6,4,"Dendrobates_truncatus"
"204","Dendrobatidae","Epipedobates","Epipedobates_boulengeri","","lentic",1,"1",0,6,4,"Epipedobates_boulengeri"
"205","Dendrobatidae","Epipedobates","Epipedobates_tricolor","","lentic",1,"1",0,6,4,"Epipedobates_tricolor"
"206","Dendrobatidae","Excidobates","Excidobates_condor","","lentic, arboreal",1,"1",0,6,4,"Excidobates_condor"
"207","Dendrobatidae","Hyloxalus","Hyloxalus_subpunctatus","","lentic",1,"1",0,6,4,"Hyloxalus_subpunctatus"
"208","Dendrobatidae","Leucostethus","Leucostethus_fraterdanieli","Colostethus_fraterdanieli","lentic",1,"1",0,6,4,"Colostethus_fraterdanieli"
"209","Dendrobatidae","Mannophryne","Mannophryne_herminae","","lentic, benthic",1,"1",0,6,4,"Mannophryne_herminae"
"210","Dendrobatidae","Mannophryne","Mannophryne_trinitatis","","lentic",1,"1",0,6,4,"Mannophryne_trinitatis"
"211","Dendrobatidae","Minyobates","Minyobates_steyermarki","","lentic, benthic",1,"1",0,6,4,"Minyobates_steyermarki"
"212","Dendrobatidae","Oophaga","Oophaga_pumilio","","lentic, arboreal",1,"1",0,6,4,"Oophaga_pumilio"
"213","Dendrobatidae","Paruwrobates","Hyloxalus_whymperi","Ameerega_erythromos","lentic",1,"1",0,6,4,"Ameerega_erythromos"
"214","Dendrobatidae","Phyllobates","Phyllobates_aurotaenia","","lentic",1,"1",0,6,4,"Phyllobates_aurotaenia"
"215","Dendrobatidae","Phyllobates","Phyllobates_bicolor","","lentic",1,"1",0,6,4,"Phyllobates_bicolor"
"216","Dendrobatidae","Ranitomeya","Ranitomeya_defleri","","lentic, arboreal",1,"1",0,6,4,"Ranitomeya_defleri"
"217","Dendrobatidae","Rheobates","Rheobates_palmatus","","lotic",0,"1",0,3,2,"Rheobates_palmatus"
"218","Dendrobatidae","Silverstoneia","Silverstoneia_flotator","","lotic, neustonic",0,"1",0,3,2,"Silverstoneia_flotator"
"221","Dicroglossidae","Euphlyctis","Euphlyctis_cyanophlyctis","","lentic",1,"1",0,6,4,"Euphlyctis_cyanophlyctis"
"222","Dicroglossidae","Fejervarya","Fejervarya_cancrivora","","lentic",1,"1",0,6,4,"Fejervarya_cancrivora"
"223","Dicroglossidae","Fejervarya","Fejervarya_limnocharis","","lentic",1,"1",0,6,4,"Fejervarya_limnocharis"
"224","Dicroglossidae","Hoplobatrachus","Hoplobatrachus_occipitalis","","lentic",1,"1",0,6,4,"Hoplobatrachus_occipitalis"
"225","Dicroglossidae","Hoplobatrachus","Hoplobatrachus_tigerinus","","lentic",1,"1",0,6,4,"Hoplobatrachus_tigerinus"
"227","Dicroglossidae","Limnonectes","Limnonectes_kuhlii","","lentic, benthic",1,"1",0,6,4,"Limnonectes_kuhlii"
"229","Dicroglossidae","Limnonectes","Limnonectes_macrocephalus","","lentic",1,"1",0,6,4,"Limnonectes_macrocephalus"
"230","Dicroglossidae","Limnonectes","Limnonectes_magnus","","lotic, sidepools",0,"1",0,3,2,"Limnonectes_magnus"
"231","Dicroglossidae","Limnonectes","Limnonectes_palavanensis","","lentic, arboreal",1,"1",0,6,4,"Limnonectes_palavanensis"
"233","Dicroglossidae","Minervarya","Minervarya_syhadrensis","","lentic",1,"1",0,6,4,"Minervarya_syhadrensis"
"236","Dicroglossidae","Occidozyga","Occidozyga_laevis","Occidozyga_lima","lentic",1,"1",0,6,4,"Occidozyga_lima"
"238","Dicroglossidae","Quasipaa","Quasipaa_exilispinosa","","lotic",0,"1",0,3,2,"Quasipaa_exilispinosa"
"239","Dicroglossidae","Sphaerotheca","Sphaerotheca_breviceps","","lentic",1,"1",0,6,4,"Sphaerotheca_breviceps"
"244","Heleophrynidae","Hadromophryne","Hadromophryne_natalensis","","lotic, suctorial",0,"1",1,4,2,"Hadromophryne_natalensis"
"245","Heleophrynidae","Heleophryne","Heleophryne_hewitti","?","lotic, suctorial",0,"0",1,2,1,NA
"246","Heleophrynidae","Heleophryne","Heleophryne_purcelli","","lotic, suctorial",0,"0",1,2,1,"Heleophryne_purcelli"
"247","Heleophrynidae","Heleophryne","Heleophryne_regis","","lotic, suctorial",0,"0",1,2,1,"Heleophryne_regis"
"248","Heleophrynidae","Heleophryne","Heleophryne_rosei","?","lotic, suctorial",0,"0",1,2,1,NA
"251","Hemiphractidae","Flectonotus","Flectonotus_sp.","Flectonotus_pygmaeus","lentic, arboreal",1,"1",0,6,4,"Flectonotus_pygmaeus"
"252","Hemiphractidae","Fritziana","Fritziana_sp.","Fritziana_fissilis","lentic, arboreal",1,"1",0,6,4,"Fritziana_fissilis"
"254","Hemiphractidae","Gastrotheca","Gastrotheca_monticola","","lentic, arboreal",1,"1",0,6,4,"Gastrotheca_monticola"
"255","Hemiphractidae","Gastrotheca","Gastrotheca_riobambae","","lentic",1,"1",0,6,4,"Gastrotheca_riobambae"
"259","Hemisotidae","Hemisus","Hemisus_guttatus","","lentic, nektonic",1,"1",0,6,4,"Hemisus_guttatus"
"260","Hemisotidae","Hemisus","Hemisus_marmoratus","","lentic, nektonic",1,"1",0,6,4,"Hemisus_marmoratus"
"261","Hylidae","Acris","Acris_crepitans","","lentic, benthic",1,"1",0,6,4,"Acris_crepitans"
"262","Hylidae","Agalychnis","Agalychnis_callidryas","","lentic, nektonic",1,"1",0,6,4,"Agalychnis_callidryas"
"263","Hylidae","Agalychnis","Agalychnis_moreletii","","lentic, nektonic",1,"1",0,6,4,"Agalychnis_moreletii"
"264","Hylidae","Triprion","Triprion_spinosus","","lentic, arboreal",1,"1",0,6,4,"Triprion_spinosus"
"265","Hylidae","Aparasphenodon","Aparasphenodon_brunoi","","lentic",1,"1",0,6,4,"Aparasphenodon_brunoi"
"266","Hylidae","Aplastodiscus","Aplastodiscus_perviridis","","lentic, benthic",1,"1",0,6,4,"Aplastodiscus_perviridis"
"269","Hylidae","Boana","Boana_boans","","lotic",0,"1",0,3,2,"Boana_boans"
"270","Hylidae","Boana","Boana_cordobae","","lotic",0,"1",0,3,2,"Boana_cordobae"
