"","Family","Genus","Taxa","Portik","guild","ecology","lung","Spec_lotic","six_state","state","tree_names"
"502","Microhylinae","Chaperina","Chaperina_fusca","","lentic, suspension feeder",1,"1",0,6,4,"Chaperina_fusca"
"503","Gastrophryninae","Chiasmocleis","Chiasmocleis_antenori","","lentic, arboreal",1,"1",0,6,4,"Chiasmocleis_antenori"
"508","Gastrophryninae","Ctenophryne","Ctenophryne_geayi","","lentic, suspension feeder",1,"1",0,6,4,"Ctenophryne_geayi"
"510","Gastrophryninae","Dermatonotus","Dermatonotus_muelleri","","lentic, suspension feeder",1,"1",0,6,4,"Dermatonotus_muelleri"
"511","Dyscophinae","Dyscophus","Dyscophus_antongilii","","lentic, suspension feeder",1,"1",0,6,4,"Dyscophus_antongilii"
"512","Gastrophryninae","Elachistocleis","Elachistocleis_bicolor","","lentic, suspension feeder",1,"1",0,6,4,"Elachistocleis_bicolor"
"513","Gastrophryninae","Gastrophryne","Gastrophryne_carolinensis","","lentic, suspension feeder",1,"1",0,6,4,"Gastrophryne_carolinensis"
"516","Microhylinae","Glyphoglossus","Glyphoglossus_guttulatus","","lentic, suspension feeder",1,"1",0,6,4,"Glyphoglossus_guttulatus"
"517","Microhylinae","Glyphoglossus","Glyphoglossus_molossus","","lentic",1,"1",0,6,4,"Glyphoglossus_molossus"
"518","Gastrophryninae","Hamptophryne","Hamptophryne_alios","","lentic",1,"1",0,6,4,"Hamptophryne_alios"
"519","Gastrophryninae","Hamptophryne","Hamptophryne_boliviana","","lentic, suspension feeder",1,"1",0,6,4,"Hamptophryne_boliviana"
"520","Hoplophryninae","Hoplophryne","Hoplophryne_rogersi","","lentic, arboreal",1,"1",0,6,4,"Hoplophryne_rogersi"
"521","Hoplophryninae","Hoplophryne","Hoplophryne_uluguruensis","","lentic, arboreal",1,"1",0,6,4,"Hoplophryne_uluguruensis"
"523","Gastrophryninae","Hypopachus","Hypopachus_barberi","","lentic, suspension feeder",1,"1",0,6,4,"Hypopachus_barberi"
"524","Kalophryninae","Kalophrynus","Kalophrynus_sinensis","","lentic",1,"1",0,6,4,"Kalophrynus_sinensis"
"525","Microhylinae","Kaloula","Kaloula_pulchra","","lentic, suspension feeder",1,"1",0,6,4,"Kaloula_pulchra"
"532","Microhylinae","Microhyla","Microhyla_annamensis","","lentic, suspension feeder",1,"1",0,6,4,"Microhyla_annamensis"
"533","Microhylinae","Microhyla","Microhyla_arboricola","","lentic, arboreal",1,"1",0,6,4,"Microhyla_arboricola"
"534","Microhylinae","Microhyla","Microhyla_borneensis","","lentic, arboreal",1,"1",0,6,4,"Microhyla_borneensis"
"535","Microhylinae","Microhyla","Microhyla_fissipes","","lentic, suspension feeder",1,"1",0,6,4,"Microhyla_fissipes"
"536","Microhylinae","Microhyla","Microhyla_heymonsi","","lentic, neustonic",1,"1",0,6,4,"Microhyla_heymonsi"
"537","Microhylinae","Microhyla","Microhyla_malang","","lentic, suspension feeder",1,"1",0,6,4,"Microhyla_malang"
"538","Microhylinae","Microhyla","Microhyla_minuta","","lentic, neustonic",1,"1",0,6,4,"Microhyla_minuta"
"539","Microhylinae","Microhyla","Microhyla_ornata","","lentic, suspension feeder",1,"1",0,6,4,"Microhyla_ornata"
"540","Microhylinae","Microhyla","Microhyla_pineticola","","lentic, suspension feeder",1,"1",0,6,4,"Microhyla_pineticola"
"541","Microhylinae","Micryletta","Micryletta_inornata","","lentic",1,"1",0,6,4,"Micryletta_inornata"
"547","Otophryninae","Otophryne","Otophryne_robusta","","lotic, fossorial",0,"0",1,2,1,"Otophryne_robusta"
"550","Scaphiophryninae","Paradoxophyla","Paradoxophyla_palmata","","lentic, suspension feeder",1,"1",0,6,4,"Paradoxophyla_palmata"
"553","Phrynomerinae","Phrynomantis","Phrynomantis_annectens","","lentic, suspension feeder",1,"1",0,6,4,"Phrynomantis_annectens"
"554","Phrynomerinae","Phrynomantis","Phrynomantis_bifasciatus","","lentic, suspension feeder",1,"1",0,6,4,"Phrynomantis_bifasciatus"
"559","Scaphiophryninae","Scaphiophryne","Scaphiophryne_calcarata","","lentic",1,"1",0,6,4,"Scaphiophryne_calcarata"
"560","Scaphiophryninae","Scaphiophryne","Scaphiophryne_madagascariensis","","lentic, suspension feeder",1,"1",0,6,4,"Scaphiophryne_madagascariensis"
"561","Scaphiophryninae","Scaphiophryne","Scaphiophryne_spinosa","","lentic",1,"1",0,6,4,"Scaphiophryne_spinosa"
"562","Asterophryinae","Siamophryne","Siamophryne_troglodytes","","lentic, cave pools",1,"1",0,6,4,"Siamophryne_troglodytes"
"564","Gastrophryninae","Stereocyclops","Stereocyclops_incrassatus","","lentic, suspension feeder",1,"1",0,6,4,"Stereocyclops_incrassatus"
"571","Limnodynastinae","Heleioporus","Heleioporus_sp.","Heleioporus_australiacus","lentic, benthic",1,"1",0,6,4,"Heleioporus_australiacus"
"573","Limnodynastinae","Limnodynastes","Limnodynastes_dumerilii","","lentic",1,"1",0,6,4,"Limnodynastes_dumerilii"
"574","Limnodynastinae","Limnodynastes","Limnodynastes_interioris","","lentic",1,"1",0,6,4,"Limnodynastes_interioris"
"575","Limnodynastinae","Limnodynastes","Limnodynastes_lignarius","","lotic, suctorial",0,"1",1,4,2,"Limnodynastes_lignarius"
"577","Limnodynastinae","Limnodynastes","Limnodynastes_peronii","","lentic",1,"1",0,6,4,"Limnodynastes_peronii"
"578","Limnodynastinae","Limnodynastes","Limnodynastes_tasmaniensis","","lentic, benthic",1,"1",0,6,4,"Limnodynastes_tasmaniensis"
"579","Limnodynastinae","Neobatrachus","Neobatrachus_aquilonius","","lentic",1,"1",0,6,4,"Neobatrachus_aquilonius"
"580","Limnodynastinae","Neobatrachus","Neobatrachus_sudellae","","lentic, benthic",1,"1",0,6,4,"Neobatrachus_sudellae"
"581","Limnodynastinae","Neobatrachus","Neobatrachus_wilsmorei","","lentic",1,"1",0,6,4,"Neobatrachus_wilsmorei"
"582","Limnodynastinae","Notaden","Notaden_melanoscaphus","","lentic",1,"1",0,6,4,"Notaden_melanoscaphus"
"583","Limnodynastinae","Notaden","Notaden_nichollsi","","lentic",1,"1",0,6,4,"Notaden_nichollsi"
"585","Limnodynastinae","Platyplectrum","Platyplectrum_ornatum","","lentic",1,"1",0,6,4,"Platyplectrum_ornatum"
"588","Myobatrachinae","Crinia","Crinia_insignifera","","lentic, benthic",1,"0",0,5,3,"Crinia_insignifera"
"589","Myobatrachinae","Crinia","Crinia_riparia","","lotic, benthic",0,"0",0,1,1,"Crinia_riparia"
"590","Myobatrachinae","Crinia","Crinia_signifera","","lentic, benthic",1,"0",0,5,3,"Crinia_signifera"
"591","Myobatrachinae","Crinia","Crinia_tasmaniensis","","lotic lentic",1,"0",0,5,3,"Crinia_tasmaniensis"
"594","Myobatrachinae","Mixophyes","Mixophyes_balbus","","lotic, suctorial",0,"1",1,4,2,"Mixophyes_balbus"
"595","Myobatrachinae","Mixophyes","Mixophyes_schevilli","","lotic, suctorial",0,"1",1,4,2,"Mixophyes_schevilli"
"599","Myobatrachinae","Pseudophryne","Pseudophryne_bibronii","","lentic, benthic",1,"0",0,5,3,"Pseudophryne_bibronii"
"602","Myobatrachinae","Taudactylus","Taudactylus_diurnus","Taudactylus_acutirostris","lotic, benthic",0,"1",0,3,2,"Taudactylus_acutirostris"
"608","Odontobatrachidae","Odontobatrachus","Odontobatrachus_fouta","","lotic, suctorial",0,"0",1,2,1,"Odontobatrachus_fouta"
"609","Odontobatrachidae","Odontobatrachus","Odontobatrachus_natator","","lotic, suctorial",0,"0",1,2,1,"Odontobatrachus_natator"
"610","Odontophrynidae","Macrogenioglottus","Macrogenioglottus_alipioi","","lentic, benthic",1,"1",0,6,4,"Macrogenioglottus_alipioi"
"611","Odontophrynidae","Odontophrynus","Odontophrynus_americanus","","lentic, benthic",1,"1",0,6,4,"Odontophrynus_americanus"
"612","Odontophrynidae","Odontophrynus","Odontophrynus_occidentalis","","lentic, benthic",1,"1",0,6,4,"Odontophrynus_occidentalis"
"613","Odontophrynidae","Proceratophrys","Proceratophrys_appendiculata","","lotic, benthic",0,"1",0,3,2,"Proceratophrys_appendiculata"
"614","Odontophrynidae","Proceratophrys","Proceratophrys_bigibbosa","","lentic, benthic",1,"1",0,6,4,"Proceratophrys_bigibbosa"
"615","Odontophrynidae","Proceratophrys","Proceratophrys_boiei","","lotic, benthic",0,"1",0,3,2,"Proceratophrys_boiei"
"616","Odontophrynidae","Proceratophrys","Proceratophrys_brauni","","lotic",0,"1",0,3,2,"Proceratophrys_brauni"
"617","Pelobatidae","Pelobates","Pelobates_cultripes","","lentic, benthic",1,"1",0,6,4,"Pelobates_cultripes"
"618","Pelobatidae","Pelobates","Pelobates_fuscus","","lentic, benthic",1,"1",0,6,4,"Pelobates_fuscus"
"619","Pelodytidae","Pelodytes","Pelodytes_caucasicus","","lentic, benthic",1,"1",0,6,4,"Pelodytes_caucasicus"
"627","Petropedetidae","Petropedetes","Petropedetes_perreti","","lotic, semiterrestrial",0,"1",1,4,2,"Petropedetes_perreti"
"628","Phrynobatrachidae","Phrynobatrachus","Phrynobatrachus_guineensis","","lentic, arboreal",1,"1",0,6,4,"Phrynobatrachus_guineensis"
"629","Phrynobatrachidae","Phrynobatrachus","Phrynobatrachus_natalensis","","lentic",1,"1",0,6,4,"Phrynobatrachus_natalensis"
"630","Pipidae","Hymenochirus","Hymenochirus_boettgeri","","lentic, carnivore",1,"1",0,6,4,"Hymenochirus_boettgeri"
"631","Pipidae","Pipa","Pipa_carvalhoi","","lentic, suspension feeder",1,"1",0,6,4,"Pipa_carvalhoi"
"632","Pipidae","Pipa","Pipa_myersi","","lentic, suspension feeder",1,"1",0,6,4,"Pipa_myersi"
"635","Pipidae","Xenopus","Xenopus_laevis","","lentic, suspension feeder",1,"1",0,6,4,"Xenopus_laevis"
"636","Pipidae","Xenopus","Xenopus_tropicalis","","lentic",1,"1",0,6,4,"Xenopus_tropicalis"
"639","Ptychadenidae","Ptychadena","Ptychadena_anchietae","","lentic",1,"1",0,6,4,"Ptychadena_anchietae"
"640","Ptychadenidae","Ptychadena","Ptychadena_mascareniensis","","lentic",1,"1",0,6,4,"Ptychadena_mascareniensis"
"641","Pyxicephalidae","Amietia","Amietia_angolensis","","lentic, benthic",1,"1",0,6,4,"Amietia_angolensis"
"642","Pyxicephalidae","Amietia","Amietia_delalandii","","lotic lentic",1,"1",0,6,4,"Amietia_delalandii"
"643","Pyxicephalidae","Amietia","Amietia_fuscigula","","lotic, sidepools",0,"1",0,3,2,"Amietia_fuscigula"
"645","Pyxicephalidae","Amietia","Amietia_vertebralis","","lotic, benthic",0,"1",0,3,2,"Amietia_vertebralis"
"649","Pyxicephalidae","Cacosternum","Cacosternum_namaquense","","lentic, benthic",1,"1",0,6,4,"Cacosternum_namaquense"
"651","Pyxicephalidae","Natalobatrachus","Natalobatrachus_bonebergi","","lotic",0,"1",0,3,2,"Natalobatrachus_bonebergi"
"652","Pyxicephalidae","Nothophryne","Nothophryne_inagoensis","Nothophryne_broadleyi","lotic, semiterrestrial",0,"0",1,2,1,"Nothophryne_broadleyi"
"653","Pyxicephalidae","Poyntonia","Poyntonia_paludicola","","lentic",1,"1",0,6,4,"Poyntonia_paludicola"
"654","Pyxicephalidae","Pyxicephalus","Pyxicephalus_adspersus","","lentic, benthic",1,"1",0,6,4,"Pyxicephalus_adspersus"
"655","Pyxicephalidae","Strongylopus","Strongylopus_grayii","","lentic",1,"1",0,6,4,"Strongylopus_grayii"
"656","Pyxicephalidae","Tomopterna","Tomopterna_cryptotis","","lentic",1,"1",0,6,4,"Tomopterna_cryptotis"
"657","Pyxicephalidae","Tomopterna","Tomopterna_luganga","","lentic",1,"1",0,6,4,"Tomopterna_luganga"
"659","Ranidae","Amnirana","Amnirana_albolabris","","lentic",1,"1",0,6,4,"Amnirana_albolabris"
"660","Ranidae","Amolops","Amolops_ricketti","","lotic, gastromyzophorous",0,"0",1,2,1,"Amolops_ricketti"
"661","Ranidae","Amolops","Amolops_sp.","Amolops_cremnobatus","lotic, gastromyzophorous",0,"0",1,2,1,"Amolops_cremnobatus"
"663","Ranidae","Chalcorana","Chalcorana_chalconota","","lotic",0,"1",0,3,2,"Chalcorana_chalconota"
"664","Ranidae","Chalcorana","Chalcorana_megalonesa","","lentic",1,"1",0,6,4,"Chalcorana_megalonesa"
"665","Ranidae","Clinotarsus","Clinotarsus_alticola","","lotic, benthic",0,"-",0,NA,NA,"Clinotarsus_alticola"
"666","Ranidae","Clinotarsus","Clinotarsus_penelope","","lentic",1,"1",0,6,4,"Clinotarsus_penelope"
"668","Ranidae","Huia","Huia_cavitympanum","","lotic, gastromyzophorous",0,"0",1,2,1,"Huia_cavitympanum"
"673","Ranidae","Meristogenys","Meristogenys_jerboa","","lotic, gastromyzophorous",0,"0",1,2,1,"Meristogenys_jerboa"
"676","Ranidae","Papurana","Papurana_kreffti","","lentic",1,"1",0,6,4,"Papurana_kreffti"
"680","Ranidae","Pelophylax","Pelophylax_ridibundus","","lentic",1,"1",0,6,4,"Pelophylax_ridibundus"
"682","Ranidae","Pulchrana","Pulchrana_grandocula","","lotic",0,"1",0,3,2,"Pulchrana_grandocula"
"683","Ranidae","Rana","Rana_berlandieri","","lentic",1,"1",0,6,4,"Rana_berlandieri"
"684","Ranidae","Rana","Rana_blairi","","lentic",1,"1",0,6,4,"Rana_blairi"
"685","Ranidae","Rana","Rana_catesbeiana","","lentic",1,"1",0,6,4,"Rana_catesbeiana"
"686","Ranidae","Rana","Rana_chiricahuensis","","lentic",1,"1",0,6,4,"Rana_chiricahuensis"
"687","Ranidae","Rana","Rana_clamitans","","lentic",1,"1",0,6,4,"Rana_clamitans"
"688","Ranidae","Rana","Rana_johnsi","","lotic",0,"1",0,3,2,"Rana_johnsi"
"689","Ranidae","Rana","Rana_juliani","","lotic",0,"1",0,3,2,"Rana_juliani"
"690","Ranidae","Rana","Rana_longicrus","","lentic",1,"1",0,6,4,"Rana_longicrus"
"691","Ranidae","Rana","Rana_maculata","","lentic",1,"1",0,6,4,"Rana_maculata"
"692","Ranidae","Rana","Rana_magnaocularis","","lentic",1,"1",0,6,4,"Rana_magnaocularis"
"693","Ranidae","Rana","Rana_neovolcanica","","lentic",1,"1",0,6,4,"Rana_neovolcanica"
"694","Ranidae","Rana","Rana_omeimontis","","lentic",1,"1",0,6,4,"Rana_omeimontis"
"695","Ranidae","Rana","Rana_palmipes","","lentic",1,"1",0,6,4,"Rana_palmipes"
"696","Ranidae","Rana","Rana_palustris","","lentic",1,"1",0,6,4,"Rana_palustris"
"697","Ranidae","Rana","Rana_pipiens","","lentic",1,"1",0,6,4,"Rana_pipiens"
"698","Ranidae","Rana","Rana_pretiosa","","lentic",1,"1",0,6,4,"Rana_pretiosa"
"699","Ranidae","Rana","Rana_pustulosa","","lotic",0,"1",0,3,2,"Rana_pustulosa"
"700","Ranidae","Rana","Rana_sauteri","","lotic, gastromyzophorous",0,"1",1,4,2,"Rana_sauteri"
"701","Ranidae","Rana","Rana_septentrionalis","","lentic",1,"1",0,6,4,"Rana_septentrionalis"
"702","Ranidae","Rana","Rana_sierramadrensis","","lotic, benthic",0,"1",0,3,2,"Rana_sierramadrensis"
"703","Ranidae","Rana","Rana_spectabilis","","lentic",1,"1",0,6,4,"Rana_spectabilis"
"704","Ranidae","Rana","Rana_sphenocephala","","lentic",1,"1",0,6,4,"Rana_sphenocephala"
"705","Ranidae","Rana","Rana_sylvatica","","lentic",1,"1",0,6,4,"Rana_sylvatica"
"706","Ranidae","Rana","Rana_temporaria","","lentic",1,"1",0,6,4,"Rana_temporaria"
"707","Ranidae","Rana","Rana_vaillanti","","lentic",1,"1",0,6,4,"Rana_vaillanti"
"708","Ranidae","Rana","Rana_vibicaria","","lentic",1,"1",0,6,4,"Rana_vibicaria"
"709","Ranidae","Rana","Rana_virgatipes","","lentic",1,"1",0,6,4,"Rana_virgatipes"
"710","Ranidae","Rana","Rana_warszewitschii","","lotic, benthic",0,"1",0,3,2,"Rana_warszewitschii"
"711","Ranidae","Rana","Rana_yavapaiensis","","lentic",1,"1",0,6,4,"Rana_yavapaiensis"
"712","Ranidae","Rana","Rana_zweifeli","","lentic, benthic",1,"1",0,6,4,"Rana_zweifeli"
"713","Ranidae","Sanguirana","Sanguirana_mearnsi","","lotic",0,"1",0,3,2,"Sanguirana_mearnsi"
"714","Ranidae","Staurois","Staurois_parvus","","lotic, fossorial",0,"1",1,4,2,"Staurois_parvus"
"716","Ranidae","Sylvirana","Sylvirana_maosonensis","","lentic",1,"1",0,6,4,"Sylvirana_maosonensis"
"717","Ranidae","Sylvirana","Sylvirana_nigrovittata","","lotic",0,"1",0,3,2,"Sylvirana_nigrovittata"
"722","Rhacophoridae","Buergeria","Buergeria_japonica","","lotic, benthic, hot springs",0,"1",0,3,2,"Buergeria_japonica"
"724","Rhacophoridae","Chiromantis","Chiromantis_nongkhorensis","","lentic",1,"1",0,6,4,"Chiromantis_nongkhorensis"
"725","Rhacophoridae","Chiromantis","Chiromantis_xerampelina","","lentic, benthic",1,"1",0,6,4,"Chiromantis_xerampelina"
"726","Rhacophoridae","Feihyla","Feihyla_kajau","","lentic",1,"1",0,6,4,"Feihyla_kajau"
"729","Rhacophoridae","Kurixalus","Kurixalus_appendiculatus","","lentic",1,"1",0,6,4,"Kurixalus_appendiculatus"
"730","Rhacophoridae","Leptomantis","Leptomantis_angulirostris","","lotic, suctorial",0,"1",1,4,2,"Leptomantis_angulirostris"
"731","Rhacophoridae","Leptomantis","Leptomantis_fasciatus","","lentic",1,"1",0,6,4,"Leptomantis_fasciatus"
"732","Rhacophoridae","Leptomantis","Leptomantis_penanorum","","lotic, suctorial",0,"1",1,4,2,"Leptomantis_penanorum"
"736","Rhacophoridae","Nyctixalus","Nyctixalus_pictus","","lentic, arboreal",1,"1",0,6,4,"Nyctixalus_pictus"
"737","Rhacophoridae","Nyctixalus","Nyctixalus_spinosum","","lentic, arboreal",1,"1",0,6,4,"Nyctixalus_spinosum"
"738","Rhacophoridae","Philautus","Philautus_sp.","Philautus_hosii","lentic, arboreal",1,"1",0,6,4,"Philautus_hosii"
"739","Rhacophoridae","Polypedates","Polypedates_leucomystax","","lentic, benthic",1,"1",0,6,4,"Polypedates_leucomystax"
"742","Rhacophoridae","Rhacophorus","Rhacophorus_baluensis","","lentic",1,"1",0,6,4,"Rhacophorus_baluensis"
"743","Rhacophoridae","Rhacophorus","Rhacophorus_pardalis","","lentic, benthic",1,"1",0,6,4,"Rhacophorus_pardalis"
"745","Rhacophoridae","Theloderma","Theloderma_horridum","","lentic, arboreal",1,"1",0,6,4,"Theloderma_horridum"
"746","Rhacophoridae","Theloderma","Theloderma_leporosum","","lentic, arboreal",1,"1",0,6,4,"Theloderma_leporosum"
"747","Rhacophoridae","Zhangixalus","Zhangixalus_dulitensis","","lentic",1,"1",0,6,4,"Zhangixalus_dulitensis"
"748","Rhacophoridae","Zhangixalus","Zhangixalus_moltrechti","","lentic",1,"1",0,6,4,"Zhangixalus_moltrechti"
"752","Rhinophrynidae","Rhinophrynus","Rhinophrynus_dorsalis","","lentic, suspension feeder",1,"1",0,6,4,"Rhinophrynus_dorsalis"
"754","Scaphiopodidae","Scaphiopus","Scaphiopus_holbrookii","","lentic, benthic",1,"1",0,6,4,"Scaphiopus_holbrookii"
"755","Scaphiopodidae","Spea","Spea_bombifrons","","lentic, benthic",1,"1",0,6,4,"Spea_bombifrons"
"756","Scaphiopodidae","Spea","Spea_hammondii","","lentic, benthic",1,"1",0,6,4,"Spea_hammondii"
"757","Scaphiopodidae","Spea","Spea_intermontana","","lentic, benthic",1,"1",0,6,4,"Spea_intermontana"
"758","Scaphiopodidae","Spea","Spea_multiplicata","","lentic, benthic",1,"1",0,6,4,"Spea_multiplicata"
"780","Telmatobiidae","Telmatobius","Telmatobius_arequipensis","?","lotic",0,"1",0,3,2,NA
"781","Telmatobiidae","Telmatobius","Telmatobius_atahualpai","Telmatobius_verrucosus","lotic, suctorial",0,"1",1,4,2,"Telmatobius_verrucosus"
"782","Telmatobiidae","Telmatobius","Telmatobius_jelskii","?","lotic, benthic",0,"1",0,3,2,NA
"783","Telmatobiidae","Telmatobius","Telmatobius_macrostomus","","lentic",1,"1",0,6,4,"Telmatobius_macrostomus"
"784","Telmatobiidae","Telmatobius","Telmatobius_marmoratus","","lentic, benthic",1,"1",0,6,4,"Telmatobius_marmoratus"
"785","Telmatobiidae","Telmatobius","Telmatobius_peruvianus","","lotic",0,"1",0,3,2,"Telmatobius_peruvianus"
"113","Bufonidae","Rhinella","Rhinella_amabilis","Rhinella_limensis","",NA,"0",0,NA,NA,"Rhinella_limensis"
"190","Dendrobatidae","Allobates","Allobates_grillisimilis","","",NA,"1",0,NA,NA,"Allobates_grillisimilis"
"199","Dendrobatidae","Colostethus","Colostethus_dunni","?","",NA,"1",0,NA,NA,NA
"723","Rhacophoridae","Chirixalus","Chirixalus_sp.","?","",NA,"1",0,NA,NA,NA
